dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,NH,3463.9222111752715,3.8648282155498537,7.994368793053805,-0.8926231242696946
50,alpha_0.5_w2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,NH,3475.701955285474,4.072851869325364,8.016800496357783,-0.0133165534324448
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,NH,3472.672970159942,3.924790386394679,7.966338019219314,0.0265837181794601
50,alpha_0.5_w2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,NH,3463.706801882273,3.992101925527384,8.033113295189995,-0.4964063582972741
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,NH,3470.726784088788,4.091637616999106,8.056383880360833,-0.0135643544011974
50,alpha_0.6_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,NH,3469.045222192029,3.988285302529408,8.012942068235454,0.0145640971405066
50,alpha_0.6_w2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,NH,3459.5464674309032,4.0104088321718585,8.046150879498603,-0.5232643622818629
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,NH,3467.020865898376,4.152185254609844,8.047901548698961,-0.0142238901429186
50,alpha_0.5_w2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,NH,3467.266026778913,4.068421485078472,8.012147224700213,0.0070947900435553
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,NH,3456.048556955073,4.065741427820546,8.055821711356494,-0.347452650682078
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,NH,3465.925439977384,4.152579692508711,8.041780600050593,-0.0146109097331032
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,NH,3465.258189017696,4.101096640803084,8.017825660107698,0.0002519885192977
50,alpha_0.5_w2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,NH,3460.2083987635524,4.064668900148811,8.03109234851885,-0.1785080897598104
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,NH,3467.175546491917,4.148724270769227,8.033587475184454,-0.0145047058877344
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,NH,3465.2066536291936,4.119059224136103,8.019749019074707,-0.006805266979073
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,NH,3462.1105568205803,4.060023044907419,8.018517006250342,-0.1560157301363888
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_norms_associative,NH,3512.7412727027227,4.860967736731388,7.694879583863829,-0.0116611105282996
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_norms_associative,NH,3509.215378237976,5.145011135264379,7.684446405718025,-0.1890570195676261
50,alpha_0.4_w2v,forage_phonologicaldynamicswitch_norms_associative,NH,3507.387148539908,4.769032214167554,7.682829474684244,0.0132918587819892
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_norms_categorical,NH,3548.42396758688,3.831784688468972,7.688234495520436,-0.0073990189914572
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_norms_categorical,NH,3548.38869860044,3.942391428876512,7.686828492331255,-0.1033337778711256
50,alpha_0.4_w2v,forage_phonologicaldynamicswitch_norms_categorical,NH,3539.1695616577645,3.777859132002712,7.682270462719757,0.0106667401824798
50,alpha_0.3_w2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,NH,3447.6719064635336,5.54604248362821,7.787559681420685,-0.0197564707671439
50,alpha_0.6_s2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,NH,3435.5431480270786,5.831292064924686,7.7413159595404,-0.1131001757844963
50,alpha_0.7_s2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,NH,3446.6421351384483,5.375378118492803,7.768145495731814,-0.0119885173961209
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,NH,3437.862938089478,5.506684980001324,7.799807149403309,-0.0212716807292289
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,NH,3423.0946030931805,5.745410539865175,7.78832445495607,-0.1332806432101497
50,alpha_0.4_w2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,NH,3438.0218744775075,5.320044966100467,7.767117394864103,-0.0125377275890583
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,NH,3427.6425090997973,5.34318355955811,7.87702760024206,-0.0227426823487896
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,NH,3421.081966082041,5.492459170962485,7.853705094691413,-0.1124161853375073
50,alpha_0.6_w2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,NH,3427.357206987131,5.17798625060107,7.851108339137527,-0.0216531431356017
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,NH,3422.480007843763,5.148430715098548,7.945480037685919,-0.0224736538375733
50,alpha_0.5_w2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,NH,3411.567538807727,5.161088693955076,7.938329612786233,-0.1027996979642909
50,alpha_0.6_w2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,NH,3419.5638876305834,4.992076543849208,7.915858665568306,-0.096881534814993
50,alpha_0.6_s2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,NH,3435.2113513254963,4.706048251521034,8.099949930345936,-0.0187404700038918
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,NH,3425.5607546282613,4.798032900930627,8.092882657211483,-0.0300226968109893
50,alpha_0.7_s2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,NH,3429.811904025088,4.496763432908874,8.12194078346005,-0.3050648246874899
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,NH,3444.448974867409,6.037764362522299,7.732035814741422,-0.0216452237490461
50,alpha_0.7_s2v,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,NH,3431.939720308687,6.5139106856303215,7.761868265460762,-0.0691947022925673
50,alpha_0.3_w2v,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.0,NH,3444.7952023155417,5.752118649197803,7.738664622000527,-0.0037365363497778
50,alpha_0.6_w2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.25,NH,3429.383464236411,5.98628468177345,7.771770068400434,-0.0229210533483436
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.25,NH,3420.8534870760504,6.227195456970629,7.75498966666813,-0.1227780570621985
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.25,NH,3430.102038176854,5.773796231543972,7.746286880482454,-0.0124417447482463
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.5,NH,3415.9259508085943,5.883191081439014,7.874060772081067,-0.0243862147894815
