,vocab
980,kookaburra
981,krait
982,krill
983,kuala
984,kudu
985,lab
986,labrador
987,labrador retriever
988,lacewing
989,lady bug
990,ladybird
991,ladybird beetle
992,ladybug
993,ladyfish
994,lake trout
995,lake whitefish
996,lamb
997,lamprey
998,lamprey eel
999,landlocked salmon
1000,langur
1001,lanternfish
1002,lapdog
1003,lapin
1004,lapwing
1005,largemouth bass
1006,lark
1007,larva
1008,larvae
1009,laughing gull
1010,leach
1011,leaf beetle
1012,leaf insect
1013,leafhopper
1014,leatherback
1015,leatherback turtle
1016,leatherjacket
1017,lechwe
1018,leech
1019,legless lizard
1020,lemming
1021,lemur
1022,leopard
1023,leopard frog
1024,leopard seal
1025,leopard shark
1026,leopardess
1027,lepidopteran
1028,lesser scaup
1029,lesser yellowlegs
1030,lhasa apso
1031,liger
1032,limpet
1033,lingcod
1034,linnet
1035,lion
1036,lion cub
1037,lioness
1038,lionfish
1039,lions
1040,little brown myotis
1041,lizard
1042,llama
1043,loach
1044,lobster
1045,locust
1046,loggerhead
1047,loggerhead shrike
1048,loggerhead turtle
1049,longhorn
1050,longneck
1051,loon
1052,lorikeet
1053,loris
1054,louse
1055,lovebird
1056,lugworm
1057,lumpfish
1058,luna moth
1059,lungfish
1060,lungless salamander
1061,lynx
1062,lyrebird
1063,macaque
1064,macaque monkey
1065,macaw
1066,mackerel
1067,mackerel tuna
1068,madagascar hissing cockroach
1069,maggot
1070,magpie
1071,mahi
1072,mahimahi
1073,mako shark
1074,malamute
1075,malarial mosquito
1076,maleo
1077,malinois
1078,mallard
1079,mallee fowl
1080,maltese
1081,maltese terrier
1082,mamba
1083,mammal
1084,mammoth
1085,man
1086,manakin
1087,manatee
1088,mandrill
1089,maned wolf
1090,mangabey
1091,mangrove snapper
1092,manowar
1093,manta
1094,manta ray
1095,mantis
1096,mantis shrimp
1097,marabou
1098,marabou stork
1099,mare
1100,markhor
1101,marlin
1102,marmoset
1103,marmot
1104,marsh harrier
1105,marsh wren
1106,marsupial
1107,marten
1108,mason bee
1109,massasauga
1110,mastiff
1111,mastodon
1112,maverick
1113,mayfly
1114,meadow pipit
1115,meadow vole
1116,meadowlark
1117,mealworm
1118,mealy bug
1119,mealybug
1120,medfly
1121,medicinal leech
1122,medusa
1123,meerkat
1124,megalodon
1125,menhaden
1126,merganser
1127,merino sheep
1128,merlin
1129,metazoan
1130,mice
1131,microbe
1132,midge
1133,milch cow
1134,milkfish
1135,milking shorthorn
1136,millipede
1137,miniature pinscher
1138,miniature pony
1139,miniature poodle
1140,miniature schnauzer
1141,mink
1142,minke whale
1143,minnow
1144,minnow fish
1145,minx
1146,mirid bug
1147,mistle thrush
1148,mite
1149,moccasin
1150,mockingbird
1151,mojarra
1152,mola
1153,mole
1154,mole rat
1155,mollusk
1156,monarch butterfly
1157,mongoose
1158,monitor
1159,monitor lizard
1160,monkey
1161,monkeys
1162,monkfish
1163,monotreme
1164,monster
1165,moonfish
1166,moorhen
1167,moose
1168,moray
1169,moray eel
1170,mosquito
1171,mosquitofish
1172,moth
1173,moths
1174,mouflon
1175,mountain cat
1176,mountain goat
1177,mountain gorilla
1178,mountain lion
1179,mourning dove
1180,mouse
1181,mud dauber
1182,mudskipper
1183,mule
1184,mule deer
1185,mules
1186,mullet
1187,mulloway
1188,muntjac
1189,murre
1190,muscovy duck
1191,musk deer
1192,musk ox
1193,musk turtle
1194,muskellunge
1195,muskox
1196,muskrat
1197,mussel
1198,mustang
1199,mute swan
1200,mutton snapper
1201,myna
1202,myna bird
1203,mynah
1204,mynah bird
1205,naked mole rat
1206,narwhal
1207,nautilus
1208,neanderthal
1209,needlefish
1210,nematode
1211,nematode worm
1212,newt
1213,nightcrawler
1214,nightingale
1215,nightjar
1216,nilgai
1217,northern bobwhite
1218,northern harrier
1219,northern parula
1220,northern pike
1221,northern pocket gopher
1222,northern shrike
1223,northern snakehead
1224,nudibranch
1225,nurse shark
1226,nuthatch
1227,nutria
1228,nyala
1229,oarfish
1230,ocean pout
1231,ocean sunfish
1232,oceanic whitetip shark
1233,ocelot
1234,octopus
1235,okapi
1236,olive ridley
1237,omnivore
1238,onion thrips
1239,opah
1240,opossum
1241,opossum shrimp
1242,orang
1243,orange roughie
1244,orangutan
1245,orangutang
1246,orca
1247,orca whale
1248,orchard oriole
1249,oriole
1250,ormer
1251,ornithopod
1252,ortolan
1253,oryx
1254,osprey
1255,ostrich
1256,ostriches
1257,otter
1258,ovenbird
1259,owl
1260,owlet
1261,ox
1262,oxen
1263,oyster
1264,oystercatcher
1265,oysters
