dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,NH,3425.4149587366774,3.725366856479584,8.00244392391538,-0.5657928623790458
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,NH,3432.6136933611365,3.84351242811513,8.028294936188273,-0.0203624079426296
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,NH,3432.344471238396,3.760313784574104,7.989049146713882,0.0042038904587395
50,alpha_0.3_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,NH,3422.3483053323203,3.6898127509606167,8.016706510912956,-0.4853010269217131
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,NH,3429.3581567496885,3.901521073461142,8.01755695829557,-0.0210373085148677
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,NH,3430.2540392339674,3.832186896070764,7.984096143371248,-0.0032164820953922
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,NH,3419.08036197394,3.791046116313834,8.01760112829704,-0.3312912799019006
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,NH,3428.3672006691068,3.901213526022294,8.012139296090657,-0.0214067368099123
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,NH,3428.2757223318536,3.8641539826689866,7.990607325654099,-0.0101581699546797
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,NH,3423.346435812118,3.789280377734906,7.993592961637808,-0.1837291412246863
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,NH,3428.9741743143286,3.858751250769589,8.020333643089696,-0.0211775766813135
50,alpha_0.3_s2v,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,NH,3427.1612358202024,3.852095740817096,7.996616662479012,-0.0214771610863524
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,NH,3423.563781270592,3.786747646156463,7.983242646080855,-0.1541373914125307
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_norms_associative,NH,3476.644279215286,4.518130701225742,7.673305938869666,-0.018087130150707
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_norms_associative,NH,3471.336198233193,4.806613931732599,7.664067561435264,-0.1963156254153843
